polysvm:
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 100.0 | Const: 1 | Power: 4 | Bias: 100
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 100.0 | Const: 1 | Power: 4 | Bias: 100
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 100.0 | Const: 1 | Power: 4 | Bias: 100
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 0.981021287868933 | Const: 3 | Power: 2 | Bias: 1
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 0.981021287868933 | Const: 3 | Power: 2 | Bias: 1
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 0.981021287868933 | Const: 3 | Power: 2 | Bias: 1
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 9.981021287868932 | Const: 3 | Power: 2 | Bias: 10
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 9.981021287868932 | Const: 3 | Power: 2 | Bias: 10
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 9.981021287868932 | Const: 3 | Power: 2 | Bias: 10
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 99.98102128786893 | Const: 3 | Power: 2 | Bias: 100
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 99.98102128786893 | Const: 3 | Power: 2 | Bias: 100
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 99.98102128786893 | Const: 3 | Power: 2 | Bias: 100
3.3061446438281674 | Effective Prior: 0.1 | Optimal Threshold: 0.9999995516952395 | Const: 3 | Power: 3 | Bias: 1
0.6612289287656336 | Effective Prior: 0.5 | Optimal Threshold: 0.9999995516952395 | Const: 3 | Power: 3 | Bias: 1
3.3061446438281683 | Effective Prior: 0.9 | Optimal Threshold: 0.9999995516952395 | Const: 3 | Power: 3 | Bias: 1
3.3061446438281674 | Effective Prior: 0.1 | Optimal Threshold: 9.99999955169524 | Const: 3 | Power: 3 | Bias: 10
0.6612289287656336 | Effective Prior: 0.5 | Optimal Threshold: 9.99999955169524 | Const: 3 | Power: 3 | Bias: 10
3.3061446438281683 | Effective Prior: 0.9 | Optimal Threshold: 9.99999955169524 | Const: 3 | Power: 3 | Bias: 10
3.3061446438281674 | Effective Prior: 0.1 | Optimal Threshold: 99.99999955169524 | Const: 3 | Power: 3 | Bias: 100
0.6612289287656336 | Effective Prior: 0.5 | Optimal Threshold: 99.99999955169524 | Const: 3 | Power: 3 | Bias: 100
3.3061446438281683 | Effective Prior: 0.9 | Optimal Threshold: 99.99999955169524 | Const: 3 | Power: 3 | Bias: 100
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 1.0 | Const: 3 | Power: 4 | Bias: 1
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 1.0 | Const: 3 | Power: 4 | Bias: 1
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 1.0 | Const: 3 | Power: 4 | Bias: 1
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 10.0 | Const: 3 | Power: 4 | Bias: 10
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 10.0 | Const: 3 | Power: 4 | Bias: 10
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 10.0 | Const: 3 | Power: 4 | Bias: 10
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 100.0 | Const: 3 | Power: 4 | Bias: 100
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 100.0 | Const: 3 | Power: 4 | Bias: 100
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 100.0 | Const: 3 | Power: 4 | Bias: 100
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 0.9905742506179028 | Const: 5 | Power: 2 | Bias: 1
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 0.9905742506179028 | Const: 5 | Power: 2 | Bias: 1
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 0.9905742506179028 | Const: 5 | Power: 2 | Bias: 1
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 9.990574250617902 | Const: 5 | Power: 2 | Bias: 10
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 9.990574250617902 | Const: 5 | Power: 2 | Bias: 10
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 9.990574250617902 | Const: 5 | Power: 2 | Bias: 10
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 99.9905742506179 | Const: 5 | Power: 2 | Bias: 100
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 99.9905742506179 | Const: 5 | Power: 2 | Bias: 100
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 99.9905742506179 | Const: 5 | Power: 2 | Bias: 100
3.3115823817292003 | Effective Prior: 0.1 | Optimal Threshold: 0.9999994157876675 | Const: 5 | Power: 3 | Bias: 1
0.6623164763458401 | Effective Prior: 0.5 | Optimal Threshold: 0.9999994157876675 | Const: 5 | Power: 3 | Bias: 1
3.311582381729201 | Effective Prior: 0.9 | Optimal Threshold: 0.9999994157876675 | Const: 5 | Power: 3 | Bias: 1
3.3115823817292003 | Effective Prior: 0.1 | Optimal Threshold: 9.999999415787668 | Const: 5 | Power: 3 | Bias: 10
0.6623164763458401 | Effective Prior: 0.5 | Optimal Threshold: 9.999999415787668 | Const: 5 | Power: 3 | Bias: 10
3.311582381729201 | Effective Prior: 0.9 | Optimal Threshold: 9.999999415787668 | Const: 5 | Power: 3 | Bias: 10
3.3115823817292003 | Effective Prior: 0.1 | Optimal Threshold: 99.99999941578767 | Const: 5 | Power: 3 | Bias: 100
0.6623164763458401 | Effective Prior: 0.5 | Optimal Threshold: 99.99999941578767 | Const: 5 | Power: 3 | Bias: 100
3.311582381729201 | Effective Prior: 0.9 | Optimal Threshold: 99.99999941578767 | Const: 5 | Power: 3 | Bias: 100
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 1.0 | Const: 5 | Power: 4 | Bias: 1
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 1.0 | Const: 5 | Power: 4 | Bias: 1
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 1.0 | Const: 5 | Power: 4 | Bias: 1
3.333333333333333 | Effective Prior: 0.1 | Optimal Threshold: 10.0 | Const: 5 | Power: 4 | Bias: 10
0.6666666666666666 | Effective Prior: 0.5 | Optimal Threshold: 10.0 | Const: 5 | Power: 4 | Bias: 10
3.333333333333334 | Effective Prior: 0.9 | Optimal Threshold: 10.0 | Const: 5 | Power: 4 | Bias: 10
